"woolB","tensionM","tensionH","breaks"
0,0,0,26
0,0,0,30
0,0,0,54
0,0,0,25
0,0,0,70
0,0,0,52
0,0,0,51
0,0,0,26
0,0,0,67
0,1,0,18
0,1,0,21
0,1,0,29
0,1,0,17
0,1,0,12
0,1,0,18
0,1,0,35
0,1,0,30
0,1,0,36
0,0,1,36
0,0,1,21
0,0,1,24
0,0,1,18
0,0,1,10
0,0,1,43
0,0,1,28
0,0,1,15
0,0,1,26
1,0,0,27
1,0,0,14
1,0,0,29
1,0,0,19
1,0,0,29
1,0,0,31
1,0,0,41
1,0,0,20
1,0,0,44
1,1,0,42
1,1,0,26
1,1,0,19
1,1,0,16
1,1,0,39
1,1,0,28
1,1,0,21
1,1,0,39
1,1,0,29
1,0,1,20
1,0,1,21
1,0,1,24
1,0,1,17
1,0,1,13
1,0,1,15
1,0,1,15
1,0,1,16
1,0,1,28
